run_id,planner,scenario,sample_index,elapsed_s,x,y,yaw_rad
20260429_020840_510,hybrid_astar,open_world,0,0.036,-0.0,-0.0,-2.24831
20260429_020840_510,hybrid_astar,open_world,1,0.184,-0.0,-0.0,-2.25155
20260429_020840_510,hybrid_astar,open_world,2,0.344,-0.0,-0.0,-2.26228
20260429_020840_510,hybrid_astar,open_world,3,0.477,-0.0,-0.0,-2.27502
20260429_020840_510,hybrid_astar,open_world,4,0.595,-0.0,-0.0,-2.29323
20260429_020840_510,hybrid_astar,open_world,5,0.705,-0.0,-0.0,-2.30359
20260429_020840_510,hybrid_astar,open_world,6,0.84,-0.0,-0.0,-2.33304
20260429_020840_510,hybrid_astar,open_world,7,0.98,-0.0,-0.0,-2.36573
20260429_020844_856,hybrid_astar,open_world,0,0.018,-0.0,-0.0,-3.13414
20260429_020844_856,hybrid_astar,open_world,1,0.14,-0.0,-0.0,-3.13495
20260429_020844_856,hybrid_astar,open_world,2,0.254,-0.0,-0.0,-3.13527
20260429_020844_856,hybrid_astar,open_world,3,0.371,-0.0,-0.0,-3.13549
20260429_020844_856,hybrid_astar,open_world,4,0.489,-0.0,-0.0,3.13928
20260429_020844_856,hybrid_astar,open_world,5,0.63,-0.0,-0.0,3.13594
20260429_020844_856,hybrid_astar,open_world,6,0.755,-0.0,-0.0,3.13617
20260429_020844_856,hybrid_astar,open_world,7,0.867,-0.0,-0.0,3.13545
20260429_020844_856,hybrid_astar,open_world,8,1.005,-0.0,-0.0,3.13605
20260429_020849_066,hybrid_astar,open_world,0,0.023,-0.1272,0.1235,2.29628
20260429_020849_066,hybrid_astar,open_world,1,0.133,-0.1388,0.1369,2.28362
20260429_020849_066,hybrid_astar,open_world,2,0.288,-0.1516,0.1516,2.27427
20260429_020849_066,hybrid_astar,open_world,3,0.417,-0.1631,0.1653,2.26556
20260429_020849_066,hybrid_astar,open_world,4,0.549,-0.1764,0.1815,2.25471
20260429_020849_066,hybrid_astar,open_world,5,0.671,-0.1896,0.1979,2.2421
20260429_020849_066,hybrid_astar,open_world,6,0.807,-0.2007,0.212,2.23094
20260429_020849_066,hybrid_astar,open_world,7,0.917,-0.2135,0.2287,2.21761
20260429_020853_116,hybrid_astar,open_world,0,0.002,-0.356,0.4536,2.05974
20260429_020853_116,hybrid_astar,open_world,1,0.132,-0.3642,0.4691,2.04921
20260429_020853_116,hybrid_astar,open_world,2,0.293,-0.3722,0.4847,2.03796
20260429_020853_116,hybrid_astar,open_world,3,0.424,-0.3789,0.4982,2.03318
20260429_020853_116,hybrid_astar,open_world,4,0.557,-0.3867,0.514,2.01215
20260429_020853_116,hybrid_astar,open_world,5,0.713,-0.3939,0.5299,1.98658
20260429_020853_116,hybrid_astar,open_world,6,0.844,-0.3999,0.5436,1.97199
